,N,T,Tnorm,custo
99,2.0,317369,0.21864597111992945,0.4372919422398589
100,2.0,1055631,0.7272590112433862,1.4545180224867724
101,2.0,455536,0.3138337742504409,0.6276675485008818
102,2.0,987970,0.6806451168430335,1.361290233686067
103,2.0,934944,0.6441137566137566,1.2882275132275132
104,2.0,2625188,1.8085785934744267,3.6171571869488535
105,2.0,94274,0.06494846781305115,0.1298969356261023
106,2.0,1498852,1.0326085758377426,2.065217151675485
107,2.0,598416,0.41226851851851853,0.8245370370370371
108,2.0,240648,0.16579034391534392,0.33158068783068784
109,2.0,712319,0.49074005180776015,0.9814801036155203
110,2.0,84109,0.05794546406525573,0.11589092813051147
111,2.0,953429,0.6568486827601411,1.3136973655202822
112,2.0,367389,0.2531063988095238,0.5062127976190476
113,2.0,49001,0.033758404982363314,0.06751680996472663
114,2.0,180584,0.1244102733686067,0.2488205467372134
115,2.0,599072,0.4127204585537919,0.8254409171075838
116,2.0,1299466,0.8952449845679012,1.7904899691358025
117,2.0,103319,0.07117986662257496,0.14235973324514992
118,2.0,711429,0.49012690145502646,0.9802538029100529
119,2.0,541657,0.37316537147266315,0.7463307429453263
120,2.0,2217461,1.5276820160934745,3.055364032186949
121,2.0,3587436,2.471502976190476,4.943005952380952
122,2.0,1636031,1.1271157131834215,2.254231426366843
123,2.0,584717,0.40283082561728395,0.8056616512345679
124,2.0,1324441,0.9124510857583774,1.8249021715167548
125,2.0,937590,0.6459366732804233,1.2918733465608465
126,2.0,817672,0.5633212081128748,1.1266424162257496
127,2.0,970050,0.6682994378306878,1.3365988756613756
128,2.0,1176998,0.8108727402998236,1.6217454805996472
129,2.0,797917,0.5497113370811287,1.0994226741622575
130,2.0,577948,0.39816743827160495,0.7963348765432099
131,2.0,172963,0.11915991512345679,0.23831983024691358
132,2.0,371709,0.2560825892857143,0.5121651785714286
133,2.0,167422,0.11534253747795414,0.2306850749559083
134,2.0,908893,0.6261663635361552,1.2523327270723104
135,2.0,366190,0.2522803681657848,0.5045607363315696
136,2.0,852701,0.5874538414902998,1.1749076829805996
137,2.0,1660887,1.1442398313492064,2.2884796626984127
138,2.0,2000763,1.378391617063492,2.756783234126984
139,2.0,205944,0.14188161375661376,0.2837632275132275
140,2.0,421846,0.2906236221340388,0.5812472442680776
141,2.0,86489,0.059585124559082894,0.11917024911816579
142,2.0,5251612,3.6180087081128747,7.236017416225749
143,2.0,79329,0.054652364417989416,0.10930472883597883
144,2.0,383869,0.264460014329806,0.528920028659612
145,2.0,647929,0.44637965718694883,0.8927593143738977
146,2.0,1287352,0.8868992504409171,1.7737985008818342
147,2.0,302393,0.20832851080246914,0.4166570216049383
148,2.0,815082,0.5615368716931217,1.1230737433862434
149,2.0,67146,0.04625909391534391,0.09251818783068783
150,2.0,218995,0.15087287808641975,0.3017457561728395
151,2.0,954127,0.6573295579805997,1.3146591159611993
152,2.0,225590,0.15541639109347444,0.3108327821869489
153,2.0,2270811,1.5644365906084656,3.1288731812169313
154,2.0,142813,0.09838858575837743,0.19677717151675486
155,2.0,328640,0.22641093474426807,0.45282186948853614
156,2.0,1129836,0.7783812830687831,1.5567625661375661
157,2.0,575535,0.39650504298941797,0.7930100859788359
158,2.0,501009,0.3451616236772487,0.6903232473544973
159,2.0,243218,0.167560901675485,0.33512180335097
160,2.0,833392,0.5741512345679012,1.1483024691358024
161,2.0,344737,0.2375006889329806,0.4750013778659612
162,2.0,282392,0.19454916225749558,0.38909832451499116
163,2.0,106491,0.07336516203703704,0.14673032407407408
164,2.0,2597686,1.7896315586419753,3.5792631172839506
165,2.0,755912,0.5207727072310405,1.041545414462081
166,2.0,86647,0.05969397597001764,0.11938795194003528
167,2.0,2317870,1.5968570877425043,3.1937141754850087
168,2.0,163508,0.11264605379188712,0.22529210758377424
169,2.0,794943,0.5476624503968254,1.0953249007936507
170,2.0,1149632,0.7920194003527337,1.5840388007054673
171,2.0,231202,0.15928268298059964,0.3185653659611993
172,2.0,1952180,1.3449211860670194,2.6898423721340388
173,2.0,253744,0.17481261022927688,0.34962522045855376
174,2.0,542808,0.37395833333333334,0.7479166666666667
175,2.0,1288727,0.8878465332892416,1.7756930665784831
176,2.0,1071121,0.7379305831128747,1.4758611662257495
177,2.0,33684,0.023206018518518518,0.046412037037037036
178,2.0,1154946,0.7956803902116402,1.5913607804232803
179,2.0,130944,0.09021164021164021,0.18042328042328043
180,2.0,230692,0.15893132716049382,0.31786265432098765
181,2.0,480138,0.33078290343915345,0.6615658068783069
182,2.0,400804,0.27612709435626104,0.5522541887125221
183,2.0,375608,0.2587687389770723,0.5175374779541446
184,2.0,100884,0.06950231481481481,0.13900462962962962
185,2.0,112818,0.07772404100529101,0.15544808201058202
186,2.0,164008,0.11299052028218695,0.2259810405643739
